product_ID,date,amount,status
p53566151,2020/12/2,2505,IN
p71132156,2020/2/27,1544,OUT
p47572948,2021/3/18,1459,OUT
p83901946,2021/5/18,1016,IN
p44047564,2020/4/5,1051,OUT
p33123638,2020/1/13,2649,OUT
p72185751,2020/6/23,2072,IN
p33801558,2020/10/16,136,OUT
p67311421,2021/12/17,2438,IN
p49940108,2021/12/31,1682,IN
p39368113,2019/11/4,932,IN
p88384833,2020/2/5,2198,OUT
p19868290,2021/5/29,57,OUT
p13087399,2021/9/16,2997,IN
p49131676,2020/5/1,2624,IN
p61471848,2020/3/22,91,OUT
p87049491,2021/4/30,2433,OUT
p72696487,2019/11/9,1502,IN
p93809752,2021/11/13,618,IN
p90116674,2021/2/7,2999,OUT
p33214115,2021/3/4,2,OUT
p60149549,2021/4/8,2215,OUT
p63889645,2020/3/29,2635,OUT
p96182807,2020/12/13,1695,IN
p83184359,2019/11/14,999,OUT
p35495963,2021/5/5,1561,IN
p53728506,2020/2/16,928,OUT
p56681521,2019/12/5,979,IN
p63384936,2021/10/5,638,IN
p21916575,2021/8/13,1795,IN
p71790987,2021/4/4,2907,IN
p84974083,2020/12/24,968,OUT
p62483394,2020/1/17,2774,IN
p11566701,2021/5/24,1670,IN
p13511326,2021/9/3,184,IN
p78328321,2020/12/7,279,OUT
p39149041,2020/11/6,2059,OUT
p72679601,2021/10/9,1869,OUT
p44489261,2019/11/23,810,IN
p81317674,2021/1/7,821,OUT
p26892056,2020/3/9,2820,OUT
p22756176,2021/7/2,2223,OUT
p88712645,2020/2/1,2414,IN
p17840065,2021/4/14,674,IN
p33698462,2020/5/1,98,OUT
p15754871,2021/11/9,187,OUT
p96902818,2021/12/22,1948,IN
p14334642,2021/3/4,2730,OUT
p30437420,2020/12/29,835,OUT
p45085604,2021/4/22,396,IN
p44339200,2021/2/9,2771,OUT
p46335138,2020/9/10,1706,OUT
p72905479,2021/5/26,749,OUT
p23315815,2020/3/27,833,OUT
p52259131,2021/8/25,1746,OUT
p57732596,2020/8/26,713,IN
p50536644,2020/5/6,1902,IN
p45646350,2021/7/8,2865,IN
p73329845,2019/12/2,1828,IN
p67965012,2021/2/28,1488,IN
p97766735,2021/6/27,2950,IN
p38702418,2021/6/13,599,OUT
p58371678,2020/11/6,1760,OUT
p26481229,2020/4/14,806,OUT
p22821659,2021/9/25,906,OUT
p26571626,2019/12/22,1162,OUT
p91613978,2020/12/19,2645,OUT
p11439717,2020/8/9,987,IN
p36083380,2020/5/14,1537,IN
p47324699,2020/3/4,1693,OUT
p67547484,2019/12/9,1728,OUT
p13574125,2021/11/22,501,OUT
p62046635,2020/12/11,2611,OUT
p57189390,2021/10/25,1485,OUT
p28711938,2021/8/25,1277,IN
p27561178,2021/6/15,1279,IN
p47028374,2019/12/2,1495,IN
p97988320,2020/5/8,1905,OUT
p58287317,2021/11/6,1336,IN
p41807643,2020/10/11,2059,OUT
p99611421,2020/11/4,1032,IN
p60455842,2020/4/15,672,IN
p92546757,2020/1/27,1880,IN
p42742475,2021/2/7,2476,IN
p65914145,2020/11/4,2151,OUT
p20407427,2020/9/30,2979,OUT
p15131520,2020/5/1,2435,IN
p49327092,2019/11/11,2891,IN
p22769361,2020/12/15,1019,OUT
p25643021,2019/12/21,1721,OUT
p18034145,2021/8/24,416,OUT
p47372149,2020/10/19,1759,IN
p96616562,2020/12/23,2729,OUT
p12594509,2020/10/14,2632,OUT
p50875853,2020/11/14,456,OUT
p35508733,2020/6/5,1581,OUT
p84002260,2021/11/10,25,OUT
p12581309,2021/1/6,136,IN
p42008167,2021/9/22,1223,IN
p28372300,2019/11/5,1257,IN
p46533980,2021/7/30,2192,OUT
p20478016,2021/4/29,498,OUT
p10159563,2020/8/12,390,IN
p47262150,2021/1/21,1337,OUT
p86543770,2020/3/21,2093,IN
p68244333,2021/6/15,2986,IN
p31394203,2021/4/30,1634,OUT
p15865562,2020/2/14,363,OUT
p87964359,2021/2/7,1388,IN
p54490125,2021/5/17,12,OUT
p82994940,2020/6/16,1068,OUT
p90515652,2020/11/18,1992,OUT
p73469156,2020/1/15,1821,OUT
p75406838,2020/11/8,1093,IN
p56423317,2019/12/19,1304,IN
p39003297,2021/11/22,1972,OUT
p73821233,2021/10/21,2989,IN
p43935502,2021/10/29,315,OUT
p34537484,2020/8/2,2128,OUT
p45976053,2021/10/8,1153,IN
p59856557,2020/8/24,16,IN
p35275180,2021/9/10,1051,OUT
p12760298,2020/4/5,2131,IN
p58381955,2021/12/15,282,OUT
p79760263,2019/11/26,2990,IN
p21449740,2020/1/28,2183,OUT
p82468584,2021/6/3,2169,OUT
p86380617,2019/11/16,623,OUT
p25969827,2021/10/3,1248,OUT
p55636184,2021/10/3,721,OUT
p82228063,2020/10/23,1695,IN
p17054816,2021/1/10,1608,OUT
p73397438,2021/5/15,423,OUT
p16523017,2020/11/24,2999,IN
p94313567,2020/2/12,1314,OUT
p73643528,2021/1/30,2627,IN
p90009443,2019/11/16,546,IN
p79984567,2021/12/29,1419,OUT
p97377142,2021/9/21,1486,IN
p63667164,2021/7/26,350,IN
p67368854,2021/9/14,681,OUT
p90898926,2021/3/2,221,IN
p10570926,2020/12/10,2553,OUT
p50107495,2021/11/18,1327,OUT
p47140396,2020/2/4,964,IN
p46151478,2020/10/15,702,OUT
p10159267,2021/5/25,2263,OUT
p58118674,2020/7/4,1072,OUT
p49216144,2020/4/28,1933,OUT
p15996061,2020/9/8,2259,IN
p94644550,2020/6/13,1126,IN
p86402275,2021/8/21,1943,IN
p23999227,2021/12/29,462,OUT
p21314569,2020/4/9,1721,OUT
p25686711,2021/10/14,2806,OUT
p50303150,2021/3/7,2676,OUT
p85860118,2020/2/18,1780,IN
p11221689,2021/12/11,1812,OUT
p51048787,2019/12/5,1143,IN
p22020570,2020/4/12,1067,OUT
p99574970,2020/8/30,2268,IN
p10754800,2021/8/17,60,OUT
p57884701,2020/11/24,219,IN
p72777760,2021/5/28,248,IN
p30650130,2020/6/15,1660,IN
p74356314,2021/4/22,2323,OUT
p20758159,2021/12/18,527,IN
p90891532,2019/11/20,2192,OUT
p87753168,2020/7/5,252,OUT
p19188433,2020/8/5,1978,OUT
p17908839,2019/11/28,1924,IN
p83571109,2020/8/28,2848,OUT
p57954169,2021/9/30,2736,OUT
p61827047,2021/9/20,518,OUT
p11108206,2021/3/3,1326,OUT
p22318441,2021/8/6,210,IN
p93711710,2019/11/5,1860,IN
p20565792,2021/4/17,2161,IN
p28868918,2019/12/20,2439,OUT
p94786185,2020/9/4,314,IN
p58850059,2021/6/12,1009,OUT
p83274445,2019/12/3,2321,OUT
p41703713,2020/3/9,1415,IN
p95345657,2020/10/6,1132,OUT
p87879408,2021/5/29,2172,OUT
p47479324,2020/2/17,1441,IN
p46617341,2021/3/17,2100,OUT
p27238302,2021/10/18,529,OUT
p63571537,2020/2/1,758,OUT
p47633597,2020/5/11,617,OUT
p23135546,2020/3/4,2436,OUT
p73921042,2021/11/10,2347,IN
p98977701,2020/12/29,2456,IN
p37559177,2021/4/28,1413,IN
p95608361,2021/12/30,1461,OUT
p17041429,2020/10/27,680,OUT
p66117886,2021/11/17,2681,OUT
p86684553,2021/11/22,2847,OUT
p49737965,2021/2/20,2238,IN
p28122303,2021/8/15,1957,OUT
p83699064,2020/10/7,2052,IN
p73715883,2020/8/6,1577,OUT
p89606964,2021/3/14,166,IN
p30809687,2020/7/29,2108,IN
p73185762,2021/9/12,2693,IN
p95217438,2020/1/28,1076,OUT
p29695992,2019/11/4,994,OUT
p84558692,2019/12/17,2678,OUT
p66705918,2020/2/12,583,IN
p57661898,2020/3/2,2856,OUT
p36512888,2020/1/5,82,OUT
p88142719,2021/5/7,798,OUT
p79528496,2021/6/15,441,IN
p80726682,2021/1/2,217,OUT
p10727093,2020/9/13,2708,IN
p40522149,2020/1/11,2147,IN
p50034840,2021/5/19,1891,OUT
p99058461,2020/8/11,855,IN
p90505229,2020/10/14,2845,IN
p17669305,2021/2/26,1442,OUT
p19783889,2021/5/9,1157,IN
p98165127,2020/9/13,1860,IN
p75889221,2021/7/14,271,IN
p30552074,2020/2/12,1941,IN
p86448106,2021/6/17,1171,IN
p14343635,2020/3/28,2837,OUT
p98328919,2019/12/12,2241,IN
p97113269,2020/7/24,138,IN
p72139702,2019/11/30,1851,OUT
p11776945,2021/8/7,1963,IN
p10955159,2020/12/21,2552,OUT
p19791706,2021/2/2,283,IN
p51006933,2020/10/10,1910,IN
p39190246,2021/5/29,1341,IN
p77204636,2021/1/17,1370,IN
p50509636,2021/6/19,2081,OUT
p64809866,2021/11/9,203,OUT
p71624661,2020/5/15,656,OUT
p92363386,2020/5/25,2838,IN
p32531910,2021/10/15,469,IN
p12394161,2021/8/28,2777,IN
p96170606,2021/9/8,1787,OUT
p45649614,2021/5/9,720,IN
p26606362,2020/3/1,550,IN
p36218776,2019/12/9,414,OUT
p88550013,2020/5/23,1745,IN
p75086830,2020/7/15,1797,IN
p60880367,2021/5/15,1700,IN
p64331253,2020/8/17,2826,OUT
p14321604,2021/5/5,828,IN
p81379905,2020/4/19,824,OUT
p43037602,2021/10/1,1118,IN
p68641751,2021/4/21,2686,OUT
p32497981,2021/9/4,2501,OUT
p88824856,2021/8/14,920,IN
p70232520,2021/6/11,1073,IN
p15692174,2021/7/3,520,OUT
p81100122,2020/4/6,1093,OUT
p22489730,2021/2/11,61,OUT
p23720641,2021/12/1,2780,OUT
p45189181,2021/4/15,1480,IN
p69923422,2021/9/16,2831,OUT
p27143106,2021/3/5,1638,OUT
p60176349,2021/3/30,509,OUT
p40764213,2019/12/12,887,OUT
p99857827,2019/11/14,2768,OUT
p25802907,2020/3/4,930,OUT
p85859195,2019/12/20,467,IN
p15223974,2021/2/11,1192,OUT
p13697475,2020/6/18,2588,IN
p81258124,2021/5/14,2283,OUT
p77486959,2020/5/10,2668,OUT
p42692652,2021/4/23,1363,IN
p37670294,2021/4/16,2423,IN
p49733715,2021/1/7,785,OUT
p16253410,2021/11/12,2595,IN
p96112664,2021/9/7,2092,OUT
p61238019,2020/6/1,1149,IN
p45357637,2020/7/19,573,OUT
p68829905,2021/8/9,272,IN
p70695661,2021/7/1,1041,OUT
p80238649,2021/11/27,2002,IN
p40726303,2021/6/10,2187,OUT
p61352877,2021/12/10,2485,IN
p52587986,2020/2/12,612,OUT
p15349000,2020/1/11,2003,IN
p24904005,2020/12/19,66,OUT
p73573583,2020/3/5,2926,OUT
p74401706,2020/9/12,1493,OUT
p81046341,2020/4/13,2992,IN
p92924458,2019/11/21,762,IN
p50781084,2020/7/3,2882,OUT
p93973089,2021/2/12,2293,IN
p81367640,2021/2/7,2549,IN
p93880932,2020/8/7,310,IN
p75544101,2021/3/4,1625,IN
p87826698,2020/6/11,215,OUT
p73743298,2021/3/21,2887,OUT
p96806741,2021/1/19,1831,OUT
p89401702,2021/5/19,1704,IN
p24290474,2020/2/6,1167,IN
p51141031,2021/1/17,1765,IN
p88104838,2021/8/30,89,IN
p88557740,2021/2/25,2342,IN
p47245322,2021/1/16,2298,IN
p86926325,2019/11/2,262,IN
p55275437,2021/8/9,1713,OUT
p17639135,2020/8/8,710,OUT
p22027302,2021/3/19,186,OUT
p15317524,2020/7/17,1013,OUT
p43381255,2020/6/17,2099,OUT
p10405270,2020/6/5,2365,OUT
p67618516,2021/4/14,2812,OUT
p57605913,2021/1/13,152,IN
p22399412,2021/12/7,2722,OUT
p37474424,2021/3/7,1382,IN
p38359026,2019/11/19,2746,OUT
p27431135,2021/12/7,1197,OUT
p11955400,2019/12/20,2698,OUT
p90693472,2020/1/6,1246,OUT
p15659779,2021/6/18,1325,OUT
p82774463,2019/12/20,966,IN
p72753005,2020/9/5,2402,OUT
p51557542,2021/9/3,1331,OUT
p86217591,2021/11/24,1967,OUT
p79629855,2020/1/21,1843,IN
p10433255,2020/8/17,1133,OUT
p30585076,2020/9/10,2259,OUT
p16668461,2021/2/18,349,OUT
p26671529,2021/11/12,2401,IN
p22716742,2020/5/11,714,IN
p54242015,2020/5/16,1837,OUT
p47663819,2020/9/22,344,IN
p23146662,2020/2/19,797,IN
p95732902,2020/11/9,1654,IN
p25711797,2020/3/7,2244,OUT
p51491239,2019/12/13,779,OUT
p77132268,2021/5/20,1309,IN
p97356339,2019/12/20,1222,IN
p53121510,2019/11/30,351,OUT
p83918301,2021/2/5,2917,OUT
p35091116,2020/8/22,1663,IN
p49893784,2021/6/16,1233,IN
p90539819,2020/6/15,2628,OUT
p97267344,2020/11/1,2165,OUT
p15009931,2021/9/9,170,IN
p20845041,2021/3/15,333,OUT
p59116679,2021/8/24,1184,IN
p73069951,2021/6/2,1359,OUT
p57569670,2019/12/19,1697,OUT
p96305511,2021/6/9,2126,IN
p34337561,2019/12/9,125,OUT
p80797970,2021/6/1,2108,OUT
p32776651,2020/2/5,1027,IN
p69636349,2021/4/22,1338,IN
p10707592,2021/12/9,2251,IN
p51087176,2021/11/12,440,IN
p55819052,2019/12/12,1092,IN
p29753341,2021/4/21,2628,IN
p76490136,2021/8/25,1251,IN
p37004109,2020/7/28,1268,OUT
p25588749,2021/3/25,514,IN
p12021955,2021/4/23,1719,OUT
p13613388,2021/11/2,2953,IN
p77692426,2019/12/22,2074,IN
p87782145,2020/9/9,2359,OUT
p64338367,2021/10/23,1468,IN
p64414125,2020/7/24,1743,OUT
p91334697,2020/5/4,383,OUT
p98080634,2020/5/29,988,IN
p41439996,2020/7/10,2431,IN
p10844496,2021/9/22,1711,IN
p72492202,2021/5/2,2947,IN
p81056008,2021/1/15,459,IN
p12835114,2020/3/9,979,IN
p70719603,2019/11/18,775,OUT
p51010911,2020/7/11,2288,OUT
p90390114,2021/2/27,641,IN
p71208358,2019/12/21,1375,OUT
p11011609,2020/4/2,2014,IN
p78258784,2021/4/6,596,IN
p89713810,2021/11/15,492,IN
p96643352,2021/6/4,736,IN
p41224262,2020/12/16,2411,IN
p82485931,2020/9/9,2888,OUT
p23383667,2019/12/8,2070,OUT
p95586269,2021/12/24,1990,OUT
p44657562,2021/8/29,2301,IN
p38663740,2021/10/11,1609,IN
p12028823,2021/12/9,782,OUT
p50650538,2020/7/19,2882,IN
p54882939,2020/9/18,1287,IN
p72981480,2020/12/12,290,OUT
p55524093,2020/7/28,851,IN
p46036653,2019/11/27,2283,OUT
p20785753,2020/4/3,1382,IN
p72172971,2020/4/7,66,OUT
p29399481,2020/4/29,1405,OUT
p36483712,2021/9/16,1245,IN
p75163586,2021/12/19,1410,IN
p93000346,2020/7/18,292,OUT
p63767170,2020/8/5,2841,OUT
p69792158,2019/11/30,1606,OUT
p93481409,2020/12/16,2802,IN
p31025771,2020/3/22,2602,OUT
p19330775,2021/6/19,321,IN
p19316070,2021/6/16,2554,OUT
p40762852,2021/1/14,1358,IN
p49067767,2020/10/18,2446,OUT
p29271369,2021/8/23,360,IN
p79773888,2021/12/23,202,IN
p39360780,2020/9/11,1317,OUT
p24149686,2021/12/7,29,IN
p81842203,2021/6/23,1126,OUT
p85643114,2020/10/3,364,IN
p48652126,2021/10/11,983,IN
p36942597,2020/4/17,2032,OUT
p93117757,2020/6/22,2964,IN
p98314990,2021/10/2,2600,IN
p71063775,2021/1/25,933,OUT
p27691130,2021/11/1,702,IN
p95172046,2020/4/4,2157,IN
p66368979,2021/10/1,2129,OUT
p28663423,2020/3/14,1734,OUT
p99864672,2021/2/12,1998,IN
p57729203,2021/1/30,756,IN
p55170429,2020/4/20,1522,IN
p56657858,2020/1/19,2069,IN
p13772844,2021/6/25,1754,OUT
p61364469,2020/8/15,736,OUT
p82528353,2020/2/25,1451,IN
p12685353,2021/5/4,477,OUT
p27434751,2020/1/4,2040,IN
p99786166,2020/9/9,535,IN
p35672279,2019/12/26,1539,OUT
p91866222,2021/10/31,2212,OUT
p87960499,2020/3/21,1620,IN
p75104926,2020/6/24,1929,IN
p51965236,2020/12/4,1822,IN
p49977956,2020/10/8,1718,IN
p42540553,2020/1/6,2754,OUT
p91155574,2020/11/5,638,OUT
p76840199,2021/12/23,220,IN
p39220858,2021/6/15,1529,OUT
p95769177,2020/3/14,1624,IN
p34245694,2021/10/29,1015,OUT
p36570856,2021/9/20,1345,OUT
p56732843,2021/4/15,2411,IN
p96162074,2020/6/11,899,IN
p75978443,2020/4/12,1651,OUT
p47619855,2019/12/27,368,OUT
p74355718,2021/10/12,657,IN
p44968730,2021/6/22,1956,IN
p11520871,2020/11/2,2236,OUT
p97490544,2021/9/15,332,OUT
p31394532,2019/11/2,1821,IN
p13401538,2021/3/24,2796,IN
p70034630,2021/5/12,1046,OUT
p55895181,2020/8/2,1305,OUT
p74119528,2021/6/12,1520,IN
p81393109,2020/2/5,47,OUT
p70781364,2021/6/16,2225,IN
p13807534,2021/12/15,391,IN
p83607635,2021/9/24,792,IN
p19488075,2020/9/26,2786,IN
p83256651,2021/11/1,1291,OUT
p79196422,2021/7/21,2114,OUT
p89566569,2020/7/15,1340,IN
p34232877,2021/1/2,1008,IN
p83088298,2021/11/23,464,IN
p25484583,2020/4/27,1946,IN
p88819260,2021/9/7,2845,IN
p88278320,2020/2/18,771,OUT
p85125228,2021/3/31,2860,IN
p17196201,2020/2/29,28,IN
p91575435,2020/2/7,1193,IN
p86879097,2021/10/1,2314,OUT
p36285207,2021/3/21,147,IN
p21071779,2019/11/8,751,OUT
p66724304,2020/9/27,2116,IN
p39072700,2021/5/27,1367,OUT
p87545807,2021/6/12,161,IN
p44842299,2020/12/29,2161,IN
p67240501,2021/7/19,881,IN
p38257402,2021/10/29,1101,IN
p25735328,2020/12/27,234,IN
p66247526,2021/4/18,1895,IN
p30812284,2020/3/18,612,OUT
p28512325,2020/8/2,2854,OUT
p47186272,2021/12/29,441,OUT
p36247251,2021/12/12,447,OUT
p24950537,2021/10/15,169,IN
p28478163,2020/7/25,2463,OUT
p74903353,2021/1/13,2711,OUT
p74869381,2021/12/2,174,OUT
p80314795,2020/10/3,544,OUT
p82129319,2020/6/13,1914,OUT
p15200647,2021/10/3,2334,IN
p29879443,2021/11/21,1130,OUT
p78260104,2019/12/4,1759,IN
p89742525,2021/12/7,1696,IN
p94826973,2020/11/21,1658,OUT
p43032201,2021/12/26,2295,OUT
p19978450,2021/4/5,2528,OUT
p44351035,2020/8/19,1224,OUT
p39590956,2021/12/13,2960,IN
p62745829,2021/5/28,1227,OUT
p71139239,2021/12/11,3,OUT
p92487702,2021/10/4,387,OUT
p53113689,2020/8/10,671,OUT
p19819091,2021/4/30,2030,OUT
p92543188,2021/11/9,549,OUT
p26223715,2021/11/7,1796,IN
p65057206,2021/11/29,1335,OUT
p23571719,2021/7/29,595,IN
p72793701,2020/9/15,655,OUT
p72311000,2019/12/4,2829,OUT
p86473909,2021/4/27,2045,IN
p66067037,2019/12/22,2382,OUT
p37915765,2021/4/24,55,IN
p49577593,2021/3/9,2628,OUT
p27998203,2020/1/19,2668,OUT
p48392918,2020/8/10,2882,IN
p44435836,2021/1/8,744,OUT
p17298634,2020/12/14,1631,OUT
p42342942,2020/5/20,1236,IN
p21762334,2021/11/29,82,IN
p77095143,2019/12/15,1984,IN
p33413173,2020/8/2,804,IN
p24195607,2019/12/27,931,OUT
p25382318,2021/10/15,880,IN
p76367391,2020/12/13,2106,IN
p37106697,2020/4/19,1437,OUT
p60047912,2020/4/28,1230,OUT
p21672255,2021/11/16,847,OUT
p66824204,2021/2/4,2243,IN
p30044469,2020/7/8,1131,OUT
p23265157,2021/11/2,873,OUT
p57261147,2020/2/23,2647,OUT
p95818587,2020/4/3,2328,IN
p10914249,2020/11/16,1650,OUT
p98619119,2021/10/25,877,IN
p64569939,2020/12/8,2869,OUT
p19939955,2020/11/24,2819,OUT
p13086354,2020/6/29,2377,OUT
p17223255,2020/6/12,598,OUT
p69231836,2020/5/16,2050,IN
p31331649,2021/8/13,1111,OUT
p96567727,2020/1/2,1033,OUT
p68656928,2021/7/29,1070,IN
p40766278,2020/12/1,2015,OUT
p13530626,2020/12/6,2960,OUT
p53661504,2021/10/20,1106,OUT
p90901784,2020/10/31,2174,OUT
p93050962,2020/1/12,859,IN
p57681713,2021/3/24,629,IN
p35446605,2021/9/6,1133,IN
p46370662,2020/3/19,574,OUT
p59313606,2020/6/25,2851,IN
p11405754,2020/5/6,673,OUT
p26875255,2021/12/1,1790,OUT
p69694789,2020/9/17,1884,OUT
p95412847,2020/8/19,2353,IN
p51860967,2020/2/5,1637,OUT
p40275081,2021/7/23,2177,OUT
p75950683,2020/10/12,1016,IN
p96400042,2020/9/1,694,OUT
p67097088,2021/4/29,1640,OUT
p38354982,2021/3/6,2790,OUT
p91540809,2020/2/29,2110,OUT
p93830955,2020/11/23,1617,OUT
p29598895,2021/8/23,1812,IN
p20950054,2020/8/4,2952,OUT
p11231050,2021/1/2,2546,IN
p13395354,2020/4/16,946,OUT
p36676115,2021/7/18,42,OUT
p59228718,2021/2/26,2376,OUT
p80874127,2020/9/26,2527,OUT
p92260728,2021/3/28,2808,OUT
p95745994,2020/2/23,902,OUT
p46888053,2021/9/6,1580,OUT
p97512434,2021/5/13,1282,IN
p74886260,2021/9/17,37,IN
p74117821,2020/6/8,2712,IN
p47205548,2021/1/6,2816,IN
p54934883,2020/4/28,934,OUT
p89493668,2020/11/6,961,OUT
p32562558,2021/3/10,1377,OUT
p24114921,2020/9/17,2735,OUT
p55725227,2020/1/31,2178,IN
p16578752,2020/2/1,439,IN
p25426152,2020/6/5,997,IN
p61795479,2020/12/29,1005,OUT
p15825473,2021/12/24,2048,IN
p13410321,2021/5/16,1874,IN
p67813074,2020/12/21,722,OUT
p58861160,2021/10/8,1761,IN
p56570183,2021/11/13,726,OUT
p34302421,2021/11/28,946,IN
p17008630,2021/11/28,1187,OUT
p53151817,2019/12/31,2496,IN
p16607007,2020/9/4,1074,IN
p76619030,2020/4/3,2906,IN
p77154104,2019/11/3,731,IN
p38185859,2020/3/7,2390,OUT
p26702659,2020/6/4,1294,IN
p25126545,2021/9/16,2233,OUT
p88323454,2020/4/11,1025,IN
p51531624,2020/11/22,1268,IN
p11771980,2020/1/5,659,OUT
p80045294,2021/7/7,70,OUT
p84798857,2021/7/17,478,OUT
p65204786,2020/1/27,574,IN
p31894499,2020/10/25,1536,IN
p24418726,2020/2/12,733,OUT
p96764173,2020/8/3,2483,OUT
p76785068,2021/10/5,1093,IN
p67156637,2021/3/15,2483,OUT
p75586873,2020/7/26,1576,OUT
p22641779,2020/12/23,1163,OUT
p78902664,2021/3/6,1372,IN
p80948743,2021/7/13,1512,OUT
